TRACE; NB_EVENTS; QUERY_TYPE; NB_THREAD; NB_EVENT_PER_THREAD; TS_START; TS_END; Filtered ET; filtered EP; MICROMODEL_TIME
VIRTUAL_TRACE_0;1000000;States;2;100;0;53032;10;1111;2507
VIRTUAL_TRACE_0;1000000;States;2;1000;0;53032;10;1111;1939
VIRTUAL_TRACE_0;1000000;States;2;5000;0;53032;10;1111;1861
VIRTUAL_TRACE_0;1000000;States;2;10000;0;53032;10;1111;1565
VIRTUAL_TRACE_0;1000000;States;2;15000;0;53032;10;1111;1676
VIRTUAL_TRACE_0;1000000;States;2;20000;0;53032;10;1111;1632
VIRTUAL_TRACE_0;1000000;States;2;50000;0;53032;10;1111;1696
VIRTUAL_TRACE_0;1000000;States;2;100000;0;53032;10;1111;1552
VIRTUAL_TRACE_0;1000000;States;4;100;0;53032;10;1111;1749
VIRTUAL_TRACE_0;1000000;States;4;1000;0;53032;10;1111;1534
VIRTUAL_TRACE_0;1000000;States;4;5000;0;53032;10;1111;1468
VIRTUAL_TRACE_0;1000000;States;4;10000;0;53032;10;1111;1455
VIRTUAL_TRACE_0;1000000;States;4;15000;0;53032;10;1111;1438
VIRTUAL_TRACE_0;1000000;States;4;20000;0;53032;10;1111;1410
VIRTUAL_TRACE_0;1000000;States;4;50000;0;53032;10;1111;1350
VIRTUAL_TRACE_0;1000000;States;4;100000;0;53032;10;1111;1357
VIRTUAL_TRACE_0;1000000;States;8;100;0;53032;10;1111;1737
VIRTUAL_TRACE_0;1000000;States;8;1000;0;53032;10;1111;1481
VIRTUAL_TRACE_0;1000000;States;8;5000;0;53032;10;1111;1389
VIRTUAL_TRACE_0;1000000;States;8;10000;0;53032;10;1111;1421
VIRTUAL_TRACE_0;1000000;States;8;15000;0;53032;10;1111;1353
VIRTUAL_TRACE_0;1000000;States;8;20000;0;53032;10;1111;1359
VIRTUAL_TRACE_0;1000000;States;8;50000;0;53032;10;1111;1284
VIRTUAL_TRACE_0;1000000;States;8;100000;0;53032;10;1111;1327
VIRTUAL_TRACE_0;1000000;States;16;100;0;53032;10;1111;1743
VIRTUAL_TRACE_0;1000000;States;16;1000;0;53032;10;1111;1434
VIRTUAL_TRACE_0;1000000;States;16;5000;0;53032;10;1111;1373
VIRTUAL_TRACE_0;1000000;States;16;10000;0;53032;10;1111;1317
VIRTUAL_TRACE_0;1000000;States;16;15000;0;53032;10;1111;1298
VIRTUAL_TRACE_0;1000000;States;16;20000;0;53032;10;1111;1311
VIRTUAL_TRACE_0;1000000;States;16;50000;0;53032;10;1111;1307
VIRTUAL_TRACE_0;1000000;States;16;100000;0;53032;10;1111;1809
VIRTUAL_TRACE_0;1000000;States Query;2;100;0;53032;10;1111;1571
VIRTUAL_TRACE_0;1000000;States Query;2;1000;0;53032;10;1111;1504
VIRTUAL_TRACE_0;1000000;States Query;2;5000;0;53032;10;1111;1399
VIRTUAL_TRACE_0;1000000;States Query;2;10000;0;53032;10;1111;1400
VIRTUAL_TRACE_0;1000000;States Query;2;15000;0;53032;10;1111;1382
VIRTUAL_TRACE_0;1000000;States Query;2;20000;0;53032;10;1111;1397
VIRTUAL_TRACE_0;1000000;States Query;2;50000;0;53032;10;1111;1391
VIRTUAL_TRACE_0;1000000;States Query;2;100000;0;53032;10;1111;1396
VIRTUAL_TRACE_0;1000000;States Query;4;100;0;53032;10;1111;1595
VIRTUAL_TRACE_0;1000000;States Query;4;1000;0;53032;10;1111;1460
VIRTUAL_TRACE_0;1000000;States Query;4;5000;0;53032;10;1111;1460
VIRTUAL_TRACE_0;1000000;States Query;4;10000;0;53032;10;1111;1405
VIRTUAL_TRACE_0;1000000;States Query;4;15000;0;53032;10;1111;1393
VIRTUAL_TRACE_0;1000000;States Query;4;20000;0;53032;10;1111;1352
VIRTUAL_TRACE_0;1000000;States Query;4;50000;0;53032;10;1111;1336
VIRTUAL_TRACE_0;1000000;States Query;4;100000;0;53032;10;1111;1334
VIRTUAL_TRACE_0;1000000;States Query;8;100;0;53032;10;1111;1644
VIRTUAL_TRACE_0;1000000;States Query;8;1000;0;53032;10;1111;1413
VIRTUAL_TRACE_0;1000000;States Query;8;5000;0;53032;10;1111;1369
VIRTUAL_TRACE_0;1000000;States Query;8;10000;0;53032;10;1111;1474
VIRTUAL_TRACE_0;1000000;States Query;8;15000;0;53032;10;1111;1337
VIRTUAL_TRACE_0;1000000;States Query;8;20000;0;53032;10;1111;1272
VIRTUAL_TRACE_0;1000000;States Query;8;50000;0;53032;10;1111;1322
VIRTUAL_TRACE_0;1000000;States Query;8;100000;0;53032;10;1111;1321
VIRTUAL_TRACE_0;1000000;States Query;16;100;0;53032;10;1111;1701
VIRTUAL_TRACE_0;1000000;States Query;16;1000;0;53032;10;1111;1477
VIRTUAL_TRACE_0;1000000;States Query;16;5000;0;53032;10;1111;1420
VIRTUAL_TRACE_0;1000000;States Query;16;10000;0;53032;10;1111;1278
VIRTUAL_TRACE_0;1000000;States Query;16;15000;0;53032;10;1111;1308
VIRTUAL_TRACE_0;1000000;States Query;16;20000;0;53032;10;1111;1277
VIRTUAL_TRACE_0;1000000;States Query;16;50000;0;53032;10;1111;1259
VIRTUAL_TRACE_0;1000000;States Query;16;100000;0;53032;10;1111;1372
VIRTUAL_TRACE_0;1000000;States Hybrid;2;100;0;53032;10;1111;1575
VIRTUAL_TRACE_0;1000000;States Hybrid;2;1000;0;53032;10;1111;1469
VIRTUAL_TRACE_0;1000000;States Hybrid;2;5000;0;53032;10;1111;1384
VIRTUAL_TRACE_0;1000000;States Hybrid;2;10000;0;53032;10;1111;1366
VIRTUAL_TRACE_0;1000000;States Hybrid;2;15000;0;53032;10;1111;1409
VIRTUAL_TRACE_0;1000000;States Hybrid;2;20000;0;53032;10;1111;1411
VIRTUAL_TRACE_0;1000000;States Hybrid;2;50000;0;53032;10;1111;1459
VIRTUAL_TRACE_0;1000000;States Hybrid;2;100000;0;53032;10;1111;1385
VIRTUAL_TRACE_0;1000000;States Hybrid;4;100;0;53032;10;1111;1663
VIRTUAL_TRACE_0;1000000;States Hybrid;4;1000;0;53032;10;1111;1510
VIRTUAL_TRACE_0;1000000;States Hybrid;4;5000;0;53032;10;1111;1437
VIRTUAL_TRACE_0;1000000;States Hybrid;4;10000;0;53032;10;1111;1356
VIRTUAL_TRACE_0;1000000;States Hybrid;4;15000;0;53032;10;1111;1364
